SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0110362,253,221,102,212,97,122,363,57,174,122,190,221,381,387,88,113,262,222,173,179,102,156,146,251,237,274,238,302,239,201,175
0110363,418,122,167,155,87,212,424,434,182,450,368,332,491,401,592,358,455,166,497,433,320,334,505,230,498,83,399,212,294,416,321
0110364,67,45,45,49,30,40,83,4,35,14,47,36,51,31,24,51,96,40,49,107,66,39,100,35,36,60,66,28,93,29,16
0110365,"1,941","2,173","1,476",300,604,"2,296","1,698","1,711","2,359","2,390","1,965","2,691","2,449","2,355","2,383","3,537","2,487","1,665","2,664","2,199","2,391","2,294","3,140",520,"3,423","1,289","3,029","2,180","3,020",920,"2,165"
0110366,76,14,34,43,30,55,45,37,68,54,80,,53,60,37,28,36,58,39,45,42,8,129,20,40,4,24,35,101,26,80
0110367,35,45,30,35,50,89,68,46,61,68,30,69,132,91,94,49,53,38,55,45,49,28,77,37,91,3,80,68,74,10,22
0110368,115,34,36,58,51,87,95,32,4,19,86,16,73,37,69,38,75,23,33,50,15,24,95,31,26,67,23,83,102,129,77
0110369,551,333,608,463,441,784,680,409,976,886,658,"1,004",992,"1,111",801,929,984,669,"1,001",976,995,590,"1,106",759,"1,257",143,"1,247",686,803,675,827
0110370,32,27,20,34,28,37,47,10,28,7,29,1,19,24,35,8,29,20,8,19,22,3,38,27,13,2,43,26,36,11,11
0110371,8,12,9,58,8,18,54,6,31,66,32,46,64,29,43,20,96,31,26,40,12,29,58,16,9,7,66,29,31,11,39
0110372,14,12,11,22,8,13,44,1,9,2,28,1,13,51,1,9,73,11,8,9,12,2,27,28,1,5,11,9,42,21,6
0110373,445,384,610,802,422,779,610,649,742,"1,165","1,103","1,323","1,223","1,057",849,"1,453","1,104",942,"1,348","1,290","1,279",897,"1,593",661,861,,"1,851",840,"1,315",788,"1,162"
0110374,113,62,112,153,42,163,166,105,71,81,74,6,16,47,7,91,3,9,51,8,54,4,68,14,21,18,20,15,5,87,25
0110375,24,1,36,29,21,36,29,30,53,41,15,19,26,22,13,21,15,23,7,6,11,15,40,32,4,10,26,33,62,18,16
0110377,15,95,4,177,116,106,103,91,89,132,163,284,,160,39,122,215,93,235,158,148,132,177,222,96,,348,113,213,149,150
0110378,1,5,5,2,4,3,3,,3,1,10,23,12,16,3,6,4,,3,6,,,15,12,2,12,7,1,1,10,3
0110379,1,3,7,5,1,9,23,1,17,7,13,4,15,3,3,12,4,2,5,2,8,9,10,16,6,2,16,5,22,5,2
0110380,13,3,2,3,4,1,1,2,6,,8,11,12,4,12,5,24,5,,1,4,2,9,4,,6,1,5,5,7,2
0110381,,186,14,423,267,559,259,233,369,614,523,620,229,327,337,610,544,317,265,200,200,265,840,386,679,35,"1,055",172,518,561,581
0110400,14,22,16,19,27,38,20,21,19,14,23,45,17,31,20,24,49,11,21,14,20,36,30,,20,6,21,25,32,16,20
0110402,67,47,52,105,92,2,85,94,113,113,104,43,87,157,111,145,27,21,128,109,83,121,145,160,142,111,189,119,146,110,150
0110404,11,15,11,19,6,9,11,7,4,10,14,3,12,9,5,11,5,1,6,3,8,13,4,4,1,9,4,5,4,3,11
0110406,233,126,227,139,130,137,146,159,215,212,246,130,105,166,173,302,243,58,202,146,237,121,205,221,280,43,291,242,288,242,240
0110408,5,30,19,10,6,23,14,7,8,6,9,4,12,10,11,18,,,,,,2,7,15,29,2,16,4,19,9,11
0110410,45,13,35,62,40,48,49,43,46,37,50,61,43,40,51,61,24,1,64,78,33,42,85,24,72,23,34,58,106,71,52
0110412,9,7,5,7,5,7,5,1,2,2,2,1,10,2,7,10,5,6,,3,4,1,6,12,2,,2,1,5,3,3
0110414,48,34,18,86,76,38,100,152,78,81,119,120,49,94,158,91,89,69,102,77,78,79,119,7,175,25,132,110,136,119,63
0110416,13,,6,12,3,21,11,18,17,7,10,5,,3,15,18,4,1,3,5,4,6,9,27,5,,8,7,4,4,4
0110418,9,1,19,26,4,20,27,20,29,23,29,21,18,35,40,28,20,17,20,48,12,16,29,22,41,9,15,22,54,21,25
0110422,24,15,27,25,27,20,22,32,32,23,28,41,18,25,13,38,20,30,28,18,23,16,34,18,36,,19,40,14,36,35
0110426,,2,15,13,,10,20,10,6,7,9,8,8,14,11,17,,1,15,9,7,11,8,10,19,,4,12,13,24,8
0110430,26,7,3,26,38,19,40,33,33,33,31,39,14,19,14,17,30,22,27,27,17,24,49,,56,4,37,26,38,55,37
0110438,17,14,10,14,5,13,14,19,11,9,1,,,,1,9,10,8,10,2,1,6,8,7,9,7,15,5,20,,7
0110442,13,2,1,9,5,,5,4,3,1,2,15,5,2,2,2,1,1,4,4,9,1,12,1,3,3,3,2,5,5,3
0110446,7,10,6,9,12,1,10,8,5,7,7,,,,1,14,5,3,2,,,,9,8,8,,3,11,14,3,6
0110460,6,4,1,,,1,,3,2,,,2,5,,2,1,3,1,3,4,2,3,,16,15,20,13,4,6,9,12
0110462,18,14,12,16,15,51,10,9,13,16,19,27,7,9,17,5,21,8,17,18,21,6,30,13,30,,18,30,15,19,30
0110464,2,4,6,2,3,1,4,1,4,3,8,8,12,2,5,4,3,5,1,3,3,4,6,4,6,2,3,2,4,3,6
0110466,28,20,21,38,28,27,30,36,25,47,11,22,7,22,28,23,13,34,15,24,32,8,22,23,38,9,39,29,36,30,31
0110470,6,1,3,5,2,4,8,2,1,2,3,2,5,2,2,3,4,9,5,2,,4,9,5,,,3,1,8,5,11
0110472,27,9,15,24,10,19,14,18,21,14,19,9,12,30,10,16,20,29,4,9,10,28,9,2,22,,29,13,26,17,7
0110474,8,21,18,10,20,15,7,41,17,14,6,11,9,6,7,9,12,21,3,10,9,7,8,10,15,,4,7,8,17,12
0110476,37,30,43,42,28,31,40,48,32,25,38,36,41,41,27,30,32,26,48,26,21,9,36,38,48,,39,62,82,2,18
0110480,35,7,2,10,6,3,1,5,3,3,1,15,5,1,1,3,1,1,1,1,3,6,3,2,1,1,2,3,8,4,1
0110481,5,2,2,6,,11,1,4,5,4,2,16,,5,6,,3,5,4,3,1,2,1,1,7,4,,1,14,3,3
0110482,3,7,4,3,20,14,9,5,11,20,10,,7,4,4,6,7,3,1,,1,21,1,1,4,,1,1,16,,
0110483,5,30,15,18,1,10,18,2,5,8,8,27,22,28,19,12,28,5,15,4,21,18,14,22,15,16,23,21,17,14,21
0110484,3,10,2,1,4,1,4,,,2,,9,2,2,,,,,1,1,,24,,1,,2,1,,4,2,5
0110486,,12,3,14,,2,3,,,15,,19,2,1,6,10,3,11,6,6,,,25,,20,1,3,,2,,9
0110488,,,,6,,,,,,,,2,,,,,,3,,,,,1,,,,,,1,,2
0110489,,1,,1,,,,,2,,,2,3,,,1,,,,,,,,,,,,,,2,
0110490,,0,,7,,,3,,1,,,11,,1,,,1,,2,4,2,,,,1,1,2,,,2,
0110491,,9,10,,,4,3,,2,,,3,2,1,1,,6,11,9,,,2,,7,3,3,4,8,,,2
0110492,,,1,,1,,,,,,,1,,,,,3,,1,,1,6,,,,1,4,,,,
0110494,2,5,,,,,,2,1,,4,1,,,2,1,,,,13,,,1,,,,2,6,,,2
0110495,2,2,9,10,,,10,11,4,4,,1,4,,3,9,,2,1,,7,,,1,,,,,,,2
0111552,52,21,29,17,32,64,35,40,30,,1,2,16,25,52,9,8,31,55,38,25,25,7,29,49,25,61,4,29,25,3
0111554,66,30,91,28,40,89,52,58,75,93,49,16,35,21,98,31,44,31,43,42,76,24,34,41,39,,113,53,51,22,9
0111556,36,44,54,30,50,51,45,41,68,66,34,36,10,36,88,8,5,12,46,49,36,14,29,42,55,,69,37,42,22,23
0111558,608,77,426,182,398,352,306,270,423,268,291,134,5,53,42,314,138,65,172,126,355,141,194,415,66,,532,93,102,84,94
0111560,22,240,258,56,188,160,79,101,287,171,36,60,139,113,80,113,37,11,219,34,82,116,58,353,41,4,262,26,65,35,21
0111562,305,257,192,142,204,200,168,170,288,213,109,94,218,32,70,338,114,41,214,91,258,254,160,195,227,,441,138,142,99,115
0111564,49,68,20,36,25,48,29,41,68,23,51,26,49,53,54,27,39,12,40,13,60,34,19,56,14,58,121,25,50,31,26
0111566,277,251,503,71,274,190,263,195,353,177,277,286,148,53,250,299,353,130,188,214,403,110,285,293,223,,488,227,257,28,75
0111568,67,59,54,49,41,47,51,50,40,10,36,21,16,10,48,37,,5,21,51,60,23,34,39,38,21,80,25,62,11,6
0111570,134,70,95,153,284,120,194,56,176,100,100,32,98,23,172,189,18,30,116,66,199,71,127,86,133,84,165,77,92,92,105
0111571,37,34,45,19,42,41,52,11,37,25,23,33,28,41,26,29,40,15,17,16,46,2,17,48,21,4,70,31,44,12,17
0111574,187,54,77,47,94,82,112,44,125,87,74,39,3,14,24,199,31,55,79,75,18,75,36,43,54,64,86,63,49,42,60
0111575,24,9,4,43,23,13,11,1,11,15,1,10,18,14,13,6,18,33,9,30,2,2,7,63,19,6,72,22,18,7,9
0111578,59,90,46,74,56,67,30,33,53,43,85,63,7,36,23,48,84,8,77,45,53,68,63,67,90,37,89,69,90,29,83
0111580,28,22,18,5,13,25,39,19,27,22,22,9,24,35,36,17,17,16,3,15,16,8,18,19,26,,64,3,19,,10
0111582,24,27,35,49,15,23,45,15,75,24,15,19,54,4,17,48,32,2,29,23,45,7,33,34,39,58,29,17,44,7,27
0111584,1,4,,7,2,2,7,1,9,3,2,10,13,6,3,4,3,8,8,7,,6,4,13,3,107,36,0,10,1,4
0111586,52,28,22,42,7,51,93,15,171,64,121,36,161,41,66,115,109,39,50,89,100,50,91,107,86,3,118,67,122,62,61
0111590,7,9,2,2,9,11,21,6,15,11,6,8,11,8,10,6,15,4,6,8,16,6,16,26,9,4,14,15,21,17,8
0111594,36,15,77,27,53,27,38,29,106,20,10,15,43,4,45,55,6,,47,19,83,11,68,46,53,20,49,58,36,20,54
0111598,13,17,13,16,17,16,22,21,14,14,10,23,17,7,41,14,8,4,8,3,25,3,12,13,8,,26,18,11,2,6
0111602,15,11,8,14,4,12,10,3,8,10,11,6,18,7,31,11,11,7,11,15,12,1,,2,20,13,14,9,14,18,30
0111626,4,3,,1,,,3,,1,,,1,,,,,,,,,,,1,,,2,1,,,,
0111628,2,7,,3,3,1,1,,1,1,,1,,2,,,,,,,2,0,,1,3,1,1,1,,,2
0111632,5,2,1,2,5,1,,,3,2,,1,1,,1,2,,1,,2,2,,2,1,,,2,1,2,5,
0111636,,3,3,3,2,,1,,4,1,2,1,1,,1,1,,2,,2,3,1,,,,1,1,4,2,,1
