Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1390562,6,8,1,3,6,7,5,8,9,15,18,1,,1,,1,3,4,6,12,8,8,12,16,9,10,12,6,12,26,7
1391000,,,,,,,,,,,,,24,,,,33,9,3,36,32,13,22,9,28,1,15,12,17,45,13
1770001,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,2,1,
1770002,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,
1780001,,,,,,,11,1,,,,,,,,,,,,,1,,2,9,5,6,21,13,8,,
1780005,,,,,,,,2,,,2,2,,,4,,,6,8,6,4,4,1,4,1,7,3,,1,1,1
1780007,,1,4,2,1,1,1,3,,,,,,,,,,,1,1,,,5,,,,,4,,1,1
1780008,,,,,,,,,,,,,,,,,,1,1,2,1,,,,,,3,,,2,2
1780009,,,1,,,,,,1,,,,,,,1,,,,,1,1,,1,,,,2,,2,1
1780010,,,,,,,,,,,,,,,,,,2,1,1,1,,,,,,1,,4,1,2
1780011,,,,,,,,,,,,3,2,6,5,7,4,2,6,7,1,,2,2,3,1,1,4,1,7,5
1780013,,,,,,,,,,,,,2,2,5,5,1,3,8,4,1,1,1,2,5,6,1,1,7,1,5
1780014,,,,,,,,,,,,,,,,,,,1,6,,,2,6,5,1,1,1,6,3,2
1780015,,,,,2,,9,5,,11,8,3,5,7,4,6,3,2,5,2,1,2,,2,3,5,5,2,3,2,2
1780020,,,1,1,2,2,5,1,,7,9,,3,6,1,3,4,3,2,4,1,1,,3,2,4,1,2,2,4,1
1780030,2,,3,,1,3,1,,3,2,2,4,2,7,4,,1,2,2,4,,,,,1,,2,,5,1,
1780035,,,,,1,1,,,,,,,,,,,,,,,,,1,2,2,0,2,,,4,1
1780040,2,,2,3,2,3,4,6,2,4,2,3,3,2,4,4,3,3,2,3,1,1,1,3,1,,4,3,5,2,2
1780045,,,1,1,2,,,,1,,,,1,4,1,,,2,1,,,,,4,1,,4,,2,1,
1780046,,,,,,,,,,,,,,,,,,,,,,,,2,2,,3,,8,,2
1780050,,,,,3,,,,,,,,,2,,1,1,1,2,0,1,,,1,,,,2,,1,
1780052,,,,,1,,2,,,1,1,2,,,1,4,,9,,1,5,1,,1,2,3,1,1,1,,3
1780054,2,,2,3,1,2,4,3,2,2,3,1,7,5,3,1,6,,7,2,5,1,5,2,2,5,4,4,2,1,5
1780055,,,,,,,,,,,,,,,,,1,2,1,2,2,1,,1,,3,3,4,8,3,
1780057,,,,,,,,,,,,,2,2,8,4,7,,2,2,2,3,,2,2,3,3,5,6,2,1
1780058,,,,,,,,,,1,2,1,5,4,4,5,5,7,7,12,3,4,,7,5,3,9,9,11,7,11
1780059,,,,,,,,,,,1,1,2,4,10,12,6,3,8,13,3,1,2,2,7,,7,3,3,8,4
1780060,,,,,1,,2,12,10,1,1,1,,,,,,,,,1,1,,,,,,,,,
1780065,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1
1780067,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,
1780070,,1,,,1,,1,,2,,2,1,2,1,,1,2,,,,,,,,,,,,11,,
1780075,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3
1780080,,,,,2,,1,9,10,1,2,1,,,1,1,,,1,,1,,,2,1,,,,,,
1780100,1,,,,2,,,1,,,,,1,,,,1,,2,,,0,,,,,2,,,3,2
1780150,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1
1780200,,,5,3,3,6,4,4,4,7,8,10,6,5,10,6,9,7,10,12,8,10,11,9,11,6,17,8,10,7,2
1780250,,,3,1,,5,4,,2,,1,,1,5,6,4,3,3,1,2,3,9,2,5,3,3,2,4,4,1,2
1780255,,,,,,,,,,,2,3,,,1,,1,2,1,1,,,1,2,,,,1,1,,2
