Número de artículo,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1140062,290,"2,540","3,034","5,292","3,670","8,546","10,308","7,318","1,960","6,080",240,"1,638",596,520,"1,306","1,834","1,584",732,562,250,"2,272",192,"1,616",808,406,324,836,462,188,"1,244",490
1140064,"1,390","1,212",815,"2,284","3,638","1,105","1,685","6,196",878,"2,328",532,"2,062","3,264",774,"1,267","2,494","2,212","18,690","2,682","1,096","1,536","1,258","1,204","3,168","1,162","1,996","3,135","2,567","3,086","5,710","2,958"
1140066,"1,614","1,780","3,238","2,120","4,118","4,102","3,047","5,168","4,018","1,766","2,114","2,092","1,524",956,"3,036","2,066","1,832","2,082","1,128","1,435","1,644","1,459","2,638","1,782","2,033","1,691","2,339","1,940","4,634","1,680","2,565"
1140068,"1,032","2,384","3,299","2,644","3,114",637,"6,926","1,819","1,080","1,406","2,606","1,672","1,616",264,"1,190","1,256",820,"1,187","1,058",463,438,360,"1,252",968,252,620,"1,618","1,318",,"1,070","1,264"
1140070,"1,252",526,"1,274","1,268","1,960",743,"1,037","3,873","1,829",758,"1,692",702,628,901,858,590,402,820,660,784,96,460,654,973,764,733,"1,388",180,242,"1,198",160
1140072,,,,,,,,,,,,,,,,,,,,10,,,,4,,,,6,,,
1140077,14,,10,38,,56,,,,40,2,,62,,,6,,12,12,80,,,,,,,10,,,,
1140094,,23,1,15,9,8,1,2,7,1,5,3,2,9,1,8,2,41,1,2,5,1,10,,2,2,3,10,3,1,
1150045,532,186,157,285,388,259,93,53,97,100,10,,,31,454,,632,732,120,392,86,6,190,69,96,765,279,449,124,"1,066",410
1170490,849,889,"2,242","2,798","2,548","3,730","1,287","2,519",518,873,"1,162",846,796,724,561,"1,368",469,"1,028",459,944,193,206,401,223,137,672,202,199,123,276,198
1170500,"4,285","2,414","3,668","2,538","1,971","2,008","2,838","2,718","1,822","1,052","1,790","1,918","1,561","1,322",916,881,731,645,"1,785",529,"1,097",622,472,655,486,599,737,607,464,624,"1,028"
1170505,473,308,232,145,486,123,116,131,305,293,44,142,181,82,55,34,134,207,67,62,106,37,67,60,111,54,52,50,17,10,26
1170506,88,44,50,20,18,,,20,,12,25,22,22,,10,,4,17,,,5,7,,4,,,,,,,
1170529,77,71,98,69,19,104,91,47,46,38,191,42,49,41,141,82,63,44,34,30,35,36,18,51,1,27,43,62,4,31,10
1170530,106,154,26,108,98,102,135,89,76,101,187,155,66,101,32,118,167,85,88,69,51,147,42,58,63,69,59,68,47,11,95
1170548,,,34,109,160,110,90,,125,60,5,,70,,6,60,,31,10,110,,54,150,,30,20,,,,11,
1170549,8,6,62,30,58,162,15,,1,8,,30,,11,70,10,,4,,,58,6,24,,22,100,,,,46,
1170550,50,,10,16,60,,,30,201,,10,25,,95,,22,,11,20,5,,,111,10,,4,,11,21,,108
1170555,162,60,147,154,52,115,127,172,72,11,31,245,225,212,60,100,44,79,6,8,23,70,25,5,10,66,108,8,,,
1170560,55,595,150,,175,96,100,4,1,24,385,204,387,200,179,205,200,200,210,,57,,136,,7,157,360,4,216,190,
1170565,,,98,,6,4,90,11,2,,,106,0,50,13,,,140,,,,,,,,,100,10,,41,
1170580,20,22,134,72,158,71,149,116,119,17,30,56,21,6,38,,,22,,30,42,28,6,20,4,40,,7,50,8,20
1170589,6,32,32,18,18,42,,2,15,33,27,32,,,4,9,18,,,3,16,4,,7,,36,8,2,15,16,
1170590,,,,4,10,64,13,58,,1,,,,,,2,,54,14,1,,,,15,,14,2,,0,,
1170592,165,141,43,111,21,60,81,97,125,110,197,184,34,142,24,129,71,11,76,99,14,23,18,5,81,2,143,,144,3,46
1170593,139,93,382,199,123,234,188,287,240,46,223,63,288,79,156,269,64,104,113,108,62,86,74,247,118,60,95,253,192,153,72
1170594,22,17,18,12,63,69,40,50,9,,24,20,65,2,12,1,13,44,32,,0,2,,12,5,14,7,35,,6,10
1170800,,,,,,,,,,,,,,,,,,2,3,,,,,2,,,,,,,
1170805,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
1170810,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,
1170820,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
1170825,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170830,,,,,,,,,,,,,,,,,,8,3,4,2,,,,,,,,,,
1170835,,,,4,10,36,115,10,24,32,20,,100,,5,100,,25,62,100,547,,159,261,160,500,13,,180,,
1221176,39,13,30,27,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
1253510,1,,18,30,,,,,,,,,,,,,,37,,,,,,,,,,,,,
1253515,799,490,516,224,2,,,,,7,,,,,,,,16,,,,,,,,,,,,,
1253800,57,4,13,284,10,3,,,,,,,,,,,,11,,,,,,,,,,,,,
1253805,150,108,63,75,83,113,35,119,69,183,33,72,4,56,18,13,39,69,,,,,,,,,,,,,
1253810,70,167,20,17,4,3,4,,6,5,,29,,15,5,,1,"1,283",,,,,,,,,,,,,
1254002,,,,,,1,,,,,,,,,,,,15,,,,,,,,,,,,,
