SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0650591,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,
0650593,,,,,,,,,,,,,,6,3,,,,,,,,,1,,,,,,,
0650594,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
0650595,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0650598,,,,,,,,1,,,,,,9,1,,,,,,,,,,,,,,,,
0650606,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0650609,,,1,,,1,,,,1,,,1,,1,,,,,,,,,,,,,,,,
0650610,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
0650611,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
0650612,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,
0650613,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,
0650614,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
0650616,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0650617,,,7,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0650620,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
0650628,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
0650636,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,
0650641,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,
0650645,,,,,,,,,,,,,,2,,1,,2,,,,,,,,,,,,,
0650648,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
0650650,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0650652,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,
0650654,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0650657,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0650659,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
0650660,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,
0650664,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0650666,,,,,,,,,,,,,5,10,,,,,,,,,,,,,,,,,
0650667,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
0650675,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
0650678,,,,,,,,,,,,,1,5,1,1,,,,,,,,,,,,,,,
0650679,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
0650680,1,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650681,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650684,2,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0650685,1,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651300,10,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
0651304,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651305,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0651306,3,,1,5,3,3,,,,,1,,,,,1,1,,,,,,1,3,2,3,,,,,
0651310,,2,,,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,
0651319,2,1,,1,2,,3,,,,,,,,,,,,,,,,,,,,1,,,,
0651390,,,,,,1,1,,,43,61,48,19,,,,,,,,,,,,,,,,,,
0651391,,,,,,,1,,,4,,,3,,,,,,56,85,,,,3,,,,,,,
0651392,,,,,,,,3,,9,,,,3,,2,,2,61,92,,,,,,,,,,,
0651394,,,1,,2,,,,2,8,,1,,,3,,,,80,70,,,,,,,,,,,
0651404,,,,,,2,,,,19,53,15,3,,,,,,,1,,,1,4,,,,,,,
0651405,,,1,,,8,,,,94,1,,,,,,,,,,,,,9,,,,,,,
0651406,,1,,,,,3,,,21,,1,,,,,1,3,,2,,,1,1,,,,,,,
0651407,,1,1,,,6,,,,17,,,,,3,1,3,,,79,,,,,,,,,,,
0651410,,,,,,9,,,,27,,,,,,,,,,,,,,5,,,,,,,
0651490,,5,,,2,,,1,,2,,,,2,1,,,,34,10,,,,,,,,,,,
0670048,,,,,,,,,,,6,,,,,,,,,1,,,,,,,,,,,
0670056,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
0670606,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
0670610,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
0670612,,,,,,,,,4,,,,,,,,,,4,,,,,,,,,,,,
0670614,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0670617,,,,,,,,,,,1,,,,,,,1,3,,,1,,,,,,,,,
0670622,,,,,,,,,,,,,,,,,,1,5,1,1,,,,,,,,,,
0670632,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,
0710090,,,1,,2,,,,3,,,1,2,,2,,,4,4,,5,,,,,,,2,,,
0710091,,,,,,2,,1,4,,1,,2,3,,1,,1,6,,3,,,2,,,,1,,,
0710092,,,,1,1,2,8,,10,,,,,1,,,6,4,3,,6,,,,,,,,,,
0710100,1,,,,,,,,5,,,,,,3,,3,,,1,,,4,,,2,,,,,1
0710101,,,,,,,,1,,,,,2,2,,,,2,1,,,2,,,,2,,,,1,1
0710102,,,,,,1,2,,,,,1,,,,,2,5,6,1,4,2,,,,,,,,1,
0710110,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
0710140,17,17,15,2,23,1,14,13,5,3,12,2,11,13,11,13,18,6,14,7,36,11,5,,,,,,,,
0710141,11,8,1,9,15,6,7,5,12,,13,6,5,24,4,15,4,6,12,6,15,13,4,,,,,,,,
0710142,38,39,21,26,25,35,56,18,55,11,24,12,32,30,33,9,55,16,54,13,32,20,32,1,,,,,,,
0710143,12,11,7,1,21,7,13,5,13,4,11,5,4,12,8,5,8,10,17,8,14,5,10,2,2,,,,,,
0710144,38,32,38,17,31,29,48,11,19,18,20,20,34,24,25,21,17,26,18,8,31,27,56,74,,,,,,,
0710145,9,4,9,13,7,16,16,,13,8,14,8,11,8,12,17,5,14,15,7,16,2,12,41,1,1,1,,,,
0710146,69,48,76,61,13,,89,51,87,14,38,49,49,67,45,39,48,68,35,40,92,47,91,5,,,,,,,
0710147,9,17,32,26,23,24,30,7,28,16,27,9,23,16,9,13,15,21,27,3,24,5,21,31,4,,,,,,
0710148,43,20,39,18,37,7,54,15,41,8,21,16,17,25,10,23,23,27,13,13,43,20,23,2,,,,,,,
0710160,11,5,7,,15,11,18,9,1,4,16,5,7,11,9,13,5,10,10,2,11,5,19,16,1,,4,,,,
0710162,12,13,9,19,5,7,11,3,2,4,9,12,10,6,8,13,12,23,7,3,13,10,6,,,1,1,,,1,
0710163,37,22,10,17,12,9,34,7,30,17,22,12,24,28,25,8,25,22,17,8,15,7,37,30,,10,,,,,
0710164,4,3,3,2,,1,,,,1,,,,18,4,6,18,9,12,,10,4,14,28,3,2,2,1,3,10,
0710165,17,12,15,3,28,10,39,9,17,15,38,15,18,14,4,8,30,31,19,7,28,8,8,34,1,1,1,,,,
0710166,12,9,9,4,13,12,18,7,13,18,20,2,14,17,6,7,4,32,6,,25,5,2,12,2,1,1,1,1,3,
0710167,32,25,12,16,19,2,47,17,28,14,34,7,30,19,23,17,21,28,14,4,55,6,11,25,4,1,7,,4,6,
0710182,2,3,3,,6,6,24,1,6,1,5,1,4,2,9,3,14,4,9,,5,4,6,,1,,,,,3,
0710183,4,2,6,,6,6,20,3,6,,5,7,8,2,8,2,15,7,8,1,9,4,,,2,1,,1,,,
0710184,2,1,5,,2,8,16,,5,1,3,7,9,2,3,5,9,1,3,2,2,2,3,1,1,,,,,2,
0710185,1,4,6,,1,11,20,1,2,2,7,,1,,2,3,7,2,2,2,4,,3,,1,1,,,,,
0710186,1,4,1,2,8,4,24,,4,1,9,1,4,3,2,3,14,4,3,3,4,2,1,3,2,3,1,1,3,,
0710187,1,3,4,,9,3,17,4,2,,3,6,12,11,9,4,11,3,11,5,10,4,1,1,,,,,,,
0710188,2,2,3,,8,3,25,3,2,1,6,3,10,3,5,3,6,2,2,2,5,4,1,1,1,,1,,,,
0710189,2,1,1,1,4,2,21,,2,1,7,2,1,2,9,5,3,,7,5,9,4,4,,,1,,,,,
0710190,,2,5,2,2,1,18,,,1,2,1,7,1,1,4,10,,1,1,5,2,,1,,,,,,,
0710400,1,6,4,7,10,3,10,2,7,6,4,8,15,10,5,4,7,13,5,3,,2,3,1,6,2,,1,2,11,7
0710401,8,4,3,9,10,11,19,6,15,4,5,5,8,9,3,3,17,7,3,14,5,13,,,,3,,1,2,8,2
0710402,6,,15,2,6,16,7,3,14,7,2,3,,5,5,5,15,6,7,14,14,,,,,,,,,,
0740175,7,3,,,3,4,,,4,3,2,,,,1,1,2,,1,,1,0,3,22,13,,14,2,3,,
0740180,15,63,4,12,3,5,11,7,19,3,10,4,,13,,4,,,4,,4,,1,2,8,1,2,1,,,30
0740182,,,20,20,2,5,,,11,9,7,75,5,,,,,,,,,,,8,,,,,,,
0740200,34,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740250,,,1,8,1,2,0,38,,1,2,2,1,,,1,,1,6,3,4,3,,,,,,,,,
0740275,2,1,1,,1,,1,10,2,6,,,1,,,3,6,2,1,,1,,,,,,,,,,
0740300,8,98,1,37,4,7,141,,,,2,1,,,,,,,,,11,,,,,,,,,,
0740320,,8,5,,2,,,,,,,,,,,,,,,,4,,,,,,,,,,
0740425,12,24,15,125,20,116,52,73,67,30,21,,,,,,,,,,,,,,,,,,,,
0740475,89,87,19,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
0740500,9,48,10,2,2,1,,,,,,,,,,,,,,,,,,2,,,,,,,
0751430,4,2,3,15,3,1,4,1,,1,,1,2,,1,3,,,1,1,,1,1,,,1,3,,1,1,
0751440,,,,,,,2,,,,,,,,,3,,,,,,,,,,,,,,,
0751448,5,2,8,,5,91,12,,,1,3,4,1,2,1,1,1,2,1,1,,,4,1,1,38,,,,,
0751450,18,20,6,1,8,22,8,1,1,,26,23,2,27,1,2,7,2,,,1,2,4,-2,3,3,,2,1,4,11
0751460,15,21,13,2,9,22,8,1,1,,30,4,2,16,12,2,2,,,,,1,,,,,1,5,114,1,
0751470,280,4,,,,,,,,3,25,4,7,162,1,,2,,3,2,1,5,1,,4,7,103,8,160,,1
0751480,16,4,15,3,37,13,13,,5,,80,1,4,30,10,5,,,1,10,5,1,1,2,1,1,50,14,4,1,
0752000,,,,,,,,,,,,,,3,,,,,,,,,,28,,,,,,,
0752004,,,,,,,,,,,,,,,,,1,,,,,,,43,,,,,,,
0754300,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,
0754301,,1,0,,,2,,,,2,3,1,1,,,,1,,,,,,2,2,,4,,,,1,
0754302,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
0761684,2,1,,,,,,1,,2,12,7,,14,2,1,2,,1,10,1,,2,,2,6,5,16,,,
0761686,,,,1,,,,,,,11,5,4,3,8,6,2,,8,2,2,8,,1,20,2,5,1,4,,10
0761688,,,,,,,,,,,15,29,9,26,5,9,6,,30,20,9,29,14,3,42,10,6,14,8,7,14
0761690,,,,,,,,,,,19,9,6,7,11,6,,1,35,2,4,42,5,4,8,,6,4,2,,5
0761692,2,,2,1,,,,,,,18,2,,1,,,,,,,2,,5,5,6,14,,,,,10
0762176,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,
0781350,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0781352,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0781445,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0781448,,2,,,,,,,,1,1,,,,,6,,,,,,,,,,,,,,,
0781450,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
0781452,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,
0781495,,1,7,1,3,,8,,4,,4,2,4,1,1,1,4,3,4,,3,5,3,6,4,4,7,7,8,4,6
0781502,,,,,,,,,,,,,1,1,,,,1,,,,,,,1,,,1,,,
0810060,,,,,,,,,,,,,,,,2,7,4,14,,,3,,,,,,,,,
0810080,,,,,,,,,7,2,,,,,,,,23,,,,,,,,,,,,,
0810190,,,,5,,,6,,,,1,,,,,,,,,,,,,,,,,,,,
0810350,,,,2,,,2,1,5,2,,,,,,,,,,,,,,,,,,,,,
0820210,,,,,,1,,,,,,,,,,9,,,,,,,,1,,,,,,,
0820230,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,
0820298,,,,,4,1,,,,,,,,,,13,,,,,,,,,,,,,,,
0820300,,1,,,,4,,,13,,,10,183,,,,,,,,,,,,,,,,,,
0820310,,,,,,,,,,5,42,2,117,,,,,,,,,,,,,,,,,,
0820320,2,,2,,,3,,3,,,,,,,,,,1,,,,,,,1,,,,,,
0820330,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0990770,,,,,,1,,,,,,1,,,,,,3,3,,4,5,1,1,1,1,1,2,1,1,
0997770,1,1,,2,,9,,,,,,5,,,,,,,,,,,,,,,,,,,
