SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
1490575,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1490576,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,1,,,
1490577,1,,,4,,3,,1,1,,2,,,,,,,1,,,,1,5,,3,,8,,1,,
1490580,,,,,,,,,,,,,,,,,3,3,103,52,12,1,6,4,3,3,,4,,,
1500893,,,,,,,,1,,4,,,1,,,,,,,,,,,,,,,,,,
1500898,,,,,,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,
1500900,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1580845,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
1760001,6,6,,4,,,,,,,,,,,,,,,,,2,,8,,,,,,,,
1760150,2,1,3,2,2,1,5,2,6,1,5,3,3,2,2,,,,,,,,,,,,,,,,
1760310,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,2,
1760500,58,11,33,47,14,16,44,7,32,21,24,21,37,19,35,10,9,22,41,35,20,56,5,14,42,1,33,,2,1,
1760525,140,44,5,23,79,53,38,37,52,46,12,79,118,41,39,34,153,111,82,355,,,,,59,30,,49,23,4,2
1760530,31,19,46,41,44,73,57,85,85,132,70,97,58,132,4,66,94,86,3,37,66,44,31,87,19,18,1,10,5,5,
1760535,15,56,12,15,52,15,45,45,113,116,18,52,13,160,1,23,76,67,17,81,35,32,10,17,,,,1,1,5,
1760540,30,62,262,117,288,122,90,280,124,55,139,127,193,127,67,154,273,272,135,147,73,,1,,56,9,5,,,104,25
1760541,,,,,,,,,,,,,,,,,,,,,,,,,32,5,16,2,1,,
1760550,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760560,6,6,0,,,,4,0,,,,,,,,,,,,,,,,,,,1,3,,,
1760570,,,,,,,,,,50,,,,,,,,20,,,,,,,,,,,,,
1760580,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1760585,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
1760590,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1760600,,,,,,,,,,,,,,,1,1,2,2,2,3,2,,2,2,1,2,3,2,,,1
1760603,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
1760604,1,1,,,,21,14,3,4,2,4,4,,3,,1,2,2,2,,,,,,,,,,,,
1760605,,,,,,13,,,,,3,3,,,,,,2,1,,,,,,,,,,,,
1760606,,,,,,21,13,4,15,32,2,8,,,,,,1,,,,,2,,,,,,,,
1760607,,,,,,2,,8,12,18,1,3,1,,,,,3,2,,,,,1,,,,,,,
1760608,,,,,,,,5,1,,,,4,,,,,7,,,,,,,,,,,,,
1760609,,,,,,,,2,2,2,,,3,,,,,1,,,,,,,,,,,,,
1760610,,,,,,1,1,,,,1,2,,,,1,,,1,1,,,,,,,,,,,
1760611,,,,,,1,,5,6,2,,1,2,,,1,,,4,,,,,,,,,,,,
1760612,,,,,,,,2,1,1,,,,,,,1,6,2,3,,1,,,1,,,,,,
1760614,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,
1760615,,,,,,,2,3,4,,3,4,,,,,,,,2,,,,,,,,,,,
1760616,,,,,,2,,,4,4,,1,,,,,,1,1,,,,,,,,,,,,
1760625,5,,,1,3,2,2,3,,3,1,4,3,2,,2,1,3,1,1,,4,1,7,,,,,,,
