SKU,1er trimestre  ( 2015 ) - Cantidad,2º trimestre  ( 2015 ) - Cantidad,3er trimestre  ( 2015 ) - Cantidad,4º trimestre  ( 2015 ) - Cantidad,1er trimestre  ( 2016 ) - Cantidad,2º trimestre  ( 2016 ) - Cantidad,3er trimestre  ( 2016 ) - Cantidad,4º trimestre  ( 2016 ) - Cantidad,1er trimestre  ( 2017 ) - Cantidad,2º trimestre  ( 2017 ) - Cantidad,3er trimestre  ( 2017 ) - Cantidad,4º trimestre  ( 2017 ) - Cantidad,1er trimestre  ( 2018 ) - Cantidad,2º trimestre  ( 2018 ) - Cantidad,3er trimestre  ( 2018 ) - Cantidad,4º trimestre  ( 2018 ) - Cantidad,1er trimestre  ( 2019 ) - Cantidad,2º trimestre  ( 2019 ) - Cantidad,3er trimestre  ( 2019 ) - Cantidad,4º trimestre  ( 2019 ) - Cantidad,1er trimestre  ( 2020 ) - Cantidad,2º trimestre  ( 2020 ) - Cantidad,3er trimestre  ( 2020 ) - Cantidad,4º trimestre  ( 2020 ) - Cantidad,1er trimestre  ( 2021 ) - Cantidad,2º trimestre  ( 2021 ) - Cantidad,3er trimestre  ( 2021 ) - Cantidad,4º trimestre  ( 2021 ) - Cantidad,1er trimestre  ( 2022 ) - Cantidad,2º trimestre  ( 2022 ) - Cantidad,3er trimestre  ( 2022 ) - Cantidad
0043410,,,,,,,,,210,,,,,,,392,,,,,,,,315,,,,,,,
0140151,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
0140159,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
0140161,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,
0140207,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
0140231,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
0140232,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
0140233,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
0140234,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
0140235,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,,
0140238,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
0150014,27,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0150375,22,2,17,22,17,50,8,31,12,4,16,39,4,1,,,,,,,,,,,,,,,,,
0150380,11,99,1,13,10,15,8,7,5,14,11,13,5,1,,,,,,,,1,,,,,,,,,
0150382,21,14,36,13,34,21,24,22,6,3,9,8,22,6,11,3,,3,,,,,,,,,,,,,
0150390,4,4,,4,,1,,1,1,,,,,,,,,,,,,,1,,,,,,,,
0150391,32,18,14,47,39,52,23,56,11,1,7,3,5,,3,5,1,5,6,5,21,1,2,35,88,26,12,3,7,13,5
0150393,,,,2,21,18,2,25,2,4,13,6,1,4,,8,5,4,10,2,,1,7,4,,4,,2,,1,
0150530,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150555,"1,201",915,442,312,,372,315,568,355,254,200,420,535,275,159,1,1,,,,,,,,1,,,,,,
0150682,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
0150683,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
0150684,,,,,,,,,,,,,,,,,,,,,,,12,,,,,10,,,
0150685,,,,,,,,,,,,,,,,,,,,,,,12,,,,,14,,,
0150686,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
0150690,,4,5,1,1,,1,1,,2,1,2,4,2,2,,,1,,,,1,1,,1,,,,,,
0150691,2,2,6,5,1,2,5,,,6,1,5,1,3,1,,1,1,,,,,,,,,,,,,
0150700,6,7,5,3,2,1,9,4,3,3,7,2,1,,,,,,,,,,,,,,,,,,
0150703,4,11,21,3,8,10,8,7,1,6,1,15,,,,,,,,,,,,,,,,,,,
0150708,43,35,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150709,48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150715,6,12,8,4,6,3,4,2,6,6,7,3,8,4,1,6,4,1,2,6,1,3,0,1,,,,,,,
0150716,13,9,5,9,6,3,6,9,3,5,2,5,6,1,3,6,6,0,2,5,1,,,4,-3,,,1,,,
0150933,,,,,,1,1,2,1,1,5,1,,,1,2,1,,,,,,1,3,3,2,1,2,1,,
0150934,,,,1,,,1,1,2,2,,1,,1,,1,1,,,2,,,,1,2,3,2,,1,1,
0150952,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0150985,,,,,,,,,40,133,19,3,31,21,,12,4,2,3,12,24,1,5,3,7,20,14,18,49,24,35
0150988,1,,57,2,,20,33,5,2,2,5,34,17,38,21,3,,,,,,,,,,,,,,,
0150989,23,18,6,7,7,12,13,3,9,3,5,20,3,4,5,18,7,1,,,,,,,,,,,,,
0150990,,5,3,,,7,5,1,1,,4,3,1,,,,,,,,,,,,,,,,,,
0150991,,1,4,4,3,3,4,5,2,,,2,,,,,,,,,,,,,,,,,,,
0151180,267,442,195,,,191,286,218,311,186,243,63,,,,,,,,3,,,1,,,,1,,,,
0151181,309,359,236,169,0,96,195,169,289,193,221,219,116,,1,,,1,,,,,,,,,,,,,
0151182,93,126,128,154,218,235,110,83,91,68,48,79,85,141,123,18,46,22,232,82,,,,,,,,,,,
0151186,10,8,9,9,5,5,4,9,11,2,24,,5,6,12,4,3,8,23,9,24,1,5,,2,9,10,7,1,3,1
0151187,21,13,7,34,12,12,3,29,12,1,7,12,18,3,7,15,4,2,23,27,16,,1,9,3,7,8,23,42,,
0151188,3,,2,4,5,10,7,16,3,2,12,12,2,2,12,3,,3,1,8,5,1,1,6,10,1,,2,,4,4
0151206,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0151207,5,1,,,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,
0151209,3,,5,1,3,,,,,,,,,,,,,,,,,,,1,,,,,,,
0151210,1,,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0151211,,5,,1,4,,,,1,4,,,,,,,,,,,,,,,,,,,,,
0151213,1,,1,,,1,,,1,,2,2,,3,,,,,,,,,,,,,,,,,
0151216,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0151217,,,1,2,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,
0151218,,,,2,,,,,,,1,,2,,,,,,,,,,,,,,,,,,
0151250,1,,,,,,,,,,,1,,,,,,1,,1,,,,3,,3,,,1,,
0151251,4,1,,1,,,,1,,,,,1,2,,,,,,1,,,1,3,2,3,2,,,10,1
0151252,,,,1,,,1,8,,1,3,2,,,,,,,,1,,,,1,2,3,1,1,1,,
0151253,,,8,,,,,,1,,,1,,3,,,,2,,,,,1,,6,,2,1,2,,
0151256,15,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0151257,8,4,15,6,2,11,5,,5,,,2,,,,,,1,,,,,,,,,,,,,
0151258,3,7,1,,4,1,3,27,4,6,1,,,1,1,,,1,,,,,,,,,,,,,
0151259,0,,10,9,1,2,4,1,,3,13,10,,3,,,,1,,,,,,,,1,,,,,
0151262,2,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,
0151263,,,8,2,10,,,0,,2,2,,,,,2,,,,,1,,,,,,,,,,
0151264,4,,5,,,5,,,,,2,1,,1,,,,,,,,,,1,,,,1,,,2
0151266,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0151267,25,14,17,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0151268,15,,10,,,7,1,1,6,3,12,,1,,,2,,,,,1,,,,,,,,,,
0151310,6,1,,7,,,,,,1,2,2,,,1,3,3,,,1,,,,,11,,,,,,
0151314,,,2,,1,,0,1,1,6,3,9,1,6,2,,1,,,2,2,,,2,3,,3,,,,
0151370,,,,,,,,,,21,,1,,,,,,2,,2,,1,,,,,,,,,
0151372,1,,,,,,,1,2,15,,2,2,1,,1,,2,1,,,6,0,,6,3,2,,1,,
0151373,,1,,,,,,,6,,,2,1,,1,,,,,,,,,,,,,,,,
0151374,,,,3,2,,1,,,2,1,,,,,,,2,,,,,,,1,,,,,,
0151375,3,11,3,1,1,,1,,1,1,3,3,,,2,2,3,,,,,,,7,,,,,,,
0151378,1,1,,,,,1,,,1,,3,,,,18,,,,1,2,,,,5,4,9,5,1,1,
0151379,1,,,,,,,16,2,1,1,29,,3,2,2,,7,,1,,1,,1,3,1,,,,,
0151384,,,,,,,,,,8,4,2,1,13,,18,,15,3,,1,,2,1,2,7,1,7,,6,
0151412,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
0151420,1,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,
0151423,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,6
0151424,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0151425,0,,3,3,2,,,,,1,,,,1,,,1,,,1,,,1,,,,1,,,,
0151426,2,,,1,,,1,3,,3,1,3,1,4,,,1,2,1,,,,,2,4,13,4,1,,,
0151430,10,3,16,2,3,2,2,1,8,4,,3,3,6,5,5,11,2,24,12,6,1,19,13,2,7,8,5,,,
0151454,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0151796,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,
0151801,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
0152001,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
0152002,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
0152020,2,,,,2,,,,,,2,1,,,,,,,,1,,,,,5,9,2,3,,,
0152021,,,,,,,,,,,,1,,,,,,,,,,,,4,3,1,,,,,
0152022,,,,,,,,,,,,,,,,,,,,,,,,,24,,37,,59,27,61
0152023,,,,,,,,,,,,1,,,,,,,,,,,,4,,7,,,,,
0152025,,,,,,,,,,,,1,,1,,,,,,,,,,1,,3,,,2,,
0153207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,35
0170274,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0170277,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0170278,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
0214510,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
0214600,32,2,4,2,2,3,4,5,5,,2,6,,,3,2,2,3,,,8,,2,2,,,,,,7,2
0214605,6,1,2,6,3,,1,3,5,,,6,,6,,,,5,2,,,,2,2,,,,,,,
0215000,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0215010,1,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0215015,1,12,,,18,6,,,9,,,,,,,3,,2,3,,,,3,,,37,,,,5,
0215050,8,12,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
0215055,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
0215060,,3,8,9,3,14,2,,,,,,,,4,,,6,,,,,3,,,,,,,,
0215100,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
0217600,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301135,,,,,,,,1,1,4,,6,,,,,,,,,,,,,,,,,,,
0301137,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
0301139,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
0301202,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
0301300,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
