SKU,MMX_Q1,MMX_Q2,MMX_Q3,MMX_Q4,MMXVI_Q1,MMXVI_Q2,MMXVI_Q3,MMXVI_Q4,MMXVII_Q1,MMXVII_Q2,MMXVII_Q3,MMXVII_Q4,MMXVIII_Q1,MMXVIII_Q2,MMXVIII_Q3,MMXVIII_Q4,MMXIX_Q1,MMXIX_Q2,MMXIX_Q3,MMXIX_Q4,MMXX_Q1,MMXX_Q2,MMXX_Q3,MMXX_Q4,MMXXI_Q1,MMXXI_Q2,MMXXI_Q3,MMXXI_Q4,MMXXII_Q1,MMXXII_Q2,MMXXII_Q3
243530,517.57,182.83,314.63,211.92,203.71,89.63,179.82,190.09,195.32,110.25,75.38,38.55,22.47,33.87,52.38,142.78,2.81,16.49,0.47,2.54,46.15,21.18,0,152.52,0,0,0,39.97,0.56,0,0
901123,0,0,152.68,0,0,437.68,0,0,152.68,0,0,0,0,0,420.71,0,0,381.71,0,305.36,0,0,0,0,0,0,0,0,0,992.41,0
780174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.6,808.83,108.25,303.66,298.64,507.08,436.51,256.36
1759768,0,0,227.68,273.21,227.68,273.21,0,0,0,0,0,0,258.04,0,0,0,0,277.23,0,0,231.03,231.02,0,30.8,0,0,281.25,62.5,234.37,234.37,0
1177260,0,0,271.43,571.42,0,0,0,236.61,312.5,0,0,0,296.88,0,0,0,0,0,0,0,0,0,296.88,0,312.5,542.86,0,0,0,0,0
24462,84.43,224.44,169.4,114.36,122.79,169.4,100.22,272.46,128.48,108.71,108.72,201.9,172.25,87.54,153.9,156.72,153.64,221.74,64.79,24.47,0,0,0,0,0,0,0,0,0,0,0
1758593,0,9.11,9.11,29.88,59.86,38.62,68,27.69,166.5,80.13,126.41,170.14,117.31,141.72,42.26,227.69,78.09,130.94,182.78,85.7,224.99,52.23,174.09,55.57,263.15,83.69,10.71,38.84,119.16,24.1,0
60116,70.69,70.71,311.14,155.56,351.7,89.56,297,132,70.72,14.14,42.43,0,0,169.72,0,56.57,190.18,183.56,100.49,0,14.3,42.91,28.6,85.82,14.87,59.46,225.54,0,44.38,0,15.67
751687,0,49.55,99.1,99.1,198.21,109.01,0,0,150.54,0,54.64,109.28,100.18,91.07,103.22,54.64,191.25,188.22,154.82,45.54,0,45.54,233.74,100.18,109.29,163.93,54.64,100.18,54.64,44.2,132.6
550530,0,0,0,0,0,241.07,0,273.22,0,1366.07,956.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900128,112.34,292.49,0,0,0,292.5,0,73.13,48.75,56.25,0,51.57,0,28.13,53.12,0,56.25,0,0,398.31,28.12,84.38,0,209.38,162.49,109.38,0,466.93,0,165.21,146.85
1755697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.86,267.86,1020.76,275,0,0,0,0,275,378.14,0,35.71,275,0,35.71,0
241612,894.44,1029.81,216.92,124.43,181.92,86.07,46.08,64.51,24.57,0,17.67,12.29,24.5,105.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470101,2828.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21344,217.3,0,108.29,250.96,169.53,377.11,386.11,114.84,199.26,146.67,234.18,0,172.77,90.22,28.79,0,117.94,58.66,29.33,0,0,33.24,58.66,0,33.24,0,0,0,0,0,0
1190605,534.37,928.57,112.94,0,804.77,0,0,0,0,53.65,0,53.65,0,56.47,0,56.47,0,0,0,0,0,109.49,0,0,0,0,0,57.63,0,57.63,0
240206,0,0,0,0,0,0,0,1122.69,904.72,796.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13039,153.56,326.31,322.46,165.08,268.72,230.32,164.98,249.1,49.82,0,94.82,39.51,0,0,49.02,245.1,50.22,11.18,100.44,0,0,50.22,50.22,195.32,0,0,0,6.25,0,0,0
1240230,0,108.48,11.61,0,90.4,0,108.48,0,357.14,0,89.29,982.15,0,267.86,267.86,267.85,90.18,0,180.36,0,0,0,0,0,0,0,0,0,0,0,0
320200,122.15,360.32,0,0,244.29,392.5,135.18,135.17,135.18,64.92,0,0,313.53,0,0,0,104.51,0,105.36,0,0,0,105.36,73.75,0,105.36,105.36,316.07,0,0,0
1758660,37.57,130.47,96.31,94.17,131.62,185.12,83.11,78.13,178.33,116.14,91.09,126.38,0,37.57,54.65,53.5,76.63,54.55,73.12,91.69,91.69,46.08,85.36,121.79,48.22,158.85,163.41,10.72,119.2,75,106.25
31003,265.18,0,243.75,0,482.15,0,160.71,0,0,501.42,0,566.52,0,0,257.14,96.43,241.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12570,182.23,0,126.43,145.52,0,0,56.96,0,0,0,0,0,616.75,22.79,0,28.48,204.05,3.6,133.93,65,198.22,45,0,33.56,0,158.57,192.85,429.68,0,99.24,70.53
