Cantidad,Importe
1407,170702.86
450432,170374.41
2573,170274.51
18714,169560.72
4164,169306.75
3310,169120.39
246,169021.15
136,168962.11
3328,168948.2
1899,168630.13
142,168604.34
876,168580
43,168385.23
738,168378.55
2532,168344.51
5555,168065.38
2586,167473.07
183,167008.7
140,166621.28
6513,166461.4
34,166317.63
742,166252.17
3202,166209.92
2460,165779.27
230,165765.26
15989,165637.02
305,165520.6
2175,165512.71
475912,165495.84
159,165245.23
375,165138.13
4803,164640.67
116,164507.42
3746,164318.76
150,164266.58
973,164069.17
3216,164053.66
14187,163905.48
2695,163375.24
883,163188.05
2563,162888.2
3668,162712.94
572,162293.08
150,162186.35
54,162054.35
1732,162002.3
163,161884.17
361,161720.63
4508,161698.71
79335,161603.14
943,161445.39
4819,160565.65
333,160546.58
4037,160270.27
19509,160158.26
1292,159912.09
441,159832.95
4596,159713.44
2773,159653.22
40,159545.81
1934,159341.26
4847,159199.8
171788,159146.17
5124,158322
449,158225.78
217,157932.21
2541,157810.34
75,157787.34
22891,157767.07
277513,157600.31
2407,157489.64
1653,157280.02
38,157253.22
2099,157155.44
2636,156998.16
837,156864.41
293,156736.21
20930,156274.82
444,155601.87
4951,155017.58
29405,154848.2
45432,154588.68
23,154394.09
21,153856.29
71383,153424.34
13554,153005.75
281,152872.73
2878,152546.81
797,152463.82
295,152368.56
34,152207.1
1323,151676.23
655,151626.32
11855,151419.09
158,151228.45
202,150943.78
2633,150807.05
3495,150615.53
333,150527.94
1724,150322.08
76,149753.3
2109,149496.93
409,148568.1
42,148403.6
13586,147913.68
2182,147781.91
846,147580.63
1195,147521.34
1527,147398.8
21436,147397.75
1016,147219.9
5606,147054.12
23,146497.55
3557,146454.76
363,146190.06
1584,146138.82
612,146074.87
136,145824.9
3060,145225.55
2489,145211.53
171,144992.16
26802,144641.35
1996,144633.51
77,144610.53
5537,144520.01
853,144095.2
35187,143715.07
142,143534.54
444888,143534.34
838,143517.82
8295,143376.71
3040,143160.55
3259,142902.97
609,142723.7
1700,142702.52
41,142578.99
4265,142381.61
29,142261.63
7925,142032.99
1923,141992.1
839,141803.41
39,141619.64
3250,141618.93
171,141601.39
2891,141396.75
2769,141345.22
14,141107.11
124,140955.72
1488,140935.31
38,140576.79
32964,140334.84
14439,140323.9
407,140246.12
200,139951.14
10743,139810.86
878,139504.06
1238,139313.51
100,139276.1
7971,139257.33
1274,139173.66
145,138969.12
52,138809.44
1981,138781.82
2603,138694.14
20884,138405.08
41617,137982.22
2066,137794.93
21927,137588.45
131,137527.91
38,137366.24
63990,137315.75
133,136883.51
412,136746.88
1642,136457.9
92642,136205.89
1814,136063.91
8783,136028.76
2525,135935.8
5423,135824.66
3948,135783.79
525,135462.89
2979,135321.25
116477,135238.16
11363,135025.21
22606,134529.86
1529,134519.07
11853,134281.52
52,133923.26
667806,133872.32
1468,133570.08
2890,133563.98
3140,133412.81
186,133213.34
40,133189.98
8069,132723.28
35,132463.65
51,132064.61
559,131983.16
34725,131759.5
84,131689.17
1780,131500.82
899,131494.21
789,131199.78
517,130481.72
472,130459.22
1346,130434.69
825,130317.68
10582,130260.82
1770,129804.14
90,129673.36
6771,129520.62
1693,129428.36
9014,129254.62
47,129248.59
9181,128925.56
102256,128883.03
335,128527.87
915,128393.43
1382,128314.45
48,128234.66
757,128195.28
841,128194.9
59,127911.67
83526,127716.47
75,127413.72
13966,127261.64
2311,127227.82
4100,127103.95
1204,126990.97
6574,126906.48
10857,126260.42
2311,126104.15
1690,126085.98
9844,125856.66
1799,125641.75
2290,125505.19
19,125446.4
100,125424.79
1216,124996.58
886,124854.16
15194,124771.98
3793,124542.16
10932,124314.82
2281,123774.78
1504,123628.85
1095,123596.97
3560,123548.04
2087,123470.28
1855,123468.76
828,123185.89
1945,122951.32
29,122897.31
221,122831.11
2188,122619.57
44,122553.95
48,122222.71
228,122064.54
633,121765.26
391999,121726.98
5949,121705.58
1548,121648.39
971,121645.33
4470,121554.71
14397,121314.62
1564,121262.71
21194,121249.27
247611,120999.09
340,120821.08
5548,120688.93
1042,120665.99
27344,120480.75
4686,120223.03
390,119997.72
993,119918.48
1485,119870
1787,119866.81
33,119669.73
44,119396.95
404799,119368.12
22,119040.34
7709,118985.46
29,118985.3
7254,118943.01
6879,118895.99
1575,118738
19999,118721.35
6549,118649.05
798,118533.67
30,118504.87
186,117935.81
3720,117837.72
7300,117680.3
499,117184.84
42,117145.82
77,116922.89
653,116913
446,116874.63
8282,116667.33
7023,116596.9
1931,116510.95
1853,116278.71
164,116071.4
5008,115995.65
105,115683.58
2108,115643.24
1677,115569.42
22331,115401.38
12534,115339.03
7464,115052.89
2767,115033.45
172,114578
255,114435.7
23,114415.14
57,114224.94
785,113774.19
29,113675.02
6650,113534.53
51,113406.25
17406,113343.72
327,112994.76
567,112700.95
2336,112681.21
134,112666.96
19093,112484.83
43327,112266.87
11835,112225.91
109,112199.25
45,112132.46
2042,112055.58
27,112038.66
57,111897.87
14581,111678.97
9100,111558.88
27,111476.59
439,111164.16
20,111009.65
1103,110993.24
3360,110907.09
576,110616.53
2621,110496.3
1310,110400.34
138,110361.04
806,110194.7
3059,110061.12
4116,109686.76
106,109412.54
10,109154.02
1744,109026.11
4477,109008.27
1323,108861.08
63,108704.02
824,108683.97
