SKU,Compras,Ventas
1754046,13,12
1754050,579,540
1754060,149,141
1754062,171,171
1754064,896,838
1754080,122,130
1754100,17,16
1754105,11,10
1754200,4,4
1754204,25,22
1754205,28,29
1754211,4,4
1754336,4,2
1754339,2,1
1754340,2,1
1754341,2,1
1754342,2,1
1754343,2,1
1754346,1,1
1754350,3,1
1754352,2,1
1754353,9,3
1754354,8,2
1754355,2,1
1754356,2,1
1754357,2,1
1754360,2,1
1754361,2,1
1754362,2,1
1754363,2,1
1754365,11,6
1754366,2,1
1754369,4,1
1754372,4,1
1754374,2,1
1754375,4,1
1754376,4,1
1754377,2,1
1754381,2,1
1754385,2,1
1754389,2,1
1754398,5,1
1754403,6,2
1754404,7,2
1754405,3,2
1754409,2,1
1754412,6,1
1754414,6,2
1754415,5,2
1754416,8,4
1754417,3,1
1754421,4,2
1754423,4,2
1754424,2,1
1754428,6,2
1754429,7,2
1754432,7,3
1754433,6,2
1754434,3,0
1754435,5,1
1754436,4,1
1754437,4,2
1754438,5,2
1754445,6,2
1754446,6,2
1754447,3,1
1754450,5,2
1754451,3,1
1754454,6,3
1754455,2,1
1754456,11,5
1754460,2,1
1754461,2,1
1754463,5,2
1754464,5,2
1754465,3,1
1754467,6,3
1754468,4,2
1754469,5,3
1754470,3,1
1754472,2,1
1754473,2,1
1754474,2,1
1754475,2,1
1754476,3,2
1754477,2,1
1754478,5,2
1754479,5,2
1754480,2,1
1754481,2,1
1754483,3,1
1754484,3,1
1754485,10,6
1754486,2,1
1754487,2,2
1754489,4,2
1754490,3,2
1754491,16,9
1754492,8,4
1754493,3,1
1754494,4,2
1754495,4,2
1754496,5,2
1754497,7,3
1754498,3,1
1754499,3,1
1754500,3,2
1754505,3,1
1754509,6,1
1754510,6,1
1754511,2,1
1754512,2,1
1754514,4,3
1754515,9,5
1754516,2,1
1754517,2,1
1754518,1,1
1754519,2,1
1754520,2,1
1754524,6,2
1754527,4,1
1754531,5,2
1754532,4,1
1754534,11,4
1754535,23,12
1754536,3,1
1754538,4,2
1754539,4,2
1754542,4,1
1754544,2,0
1754545,2,1
1754546,4,2
1754547,4,3
1754549,5,2
1754550,2,1
1754551,2,1
1754552,2,1
1754553,31,25
1754554,8,5
1754555,11,11
1754556,5,3
1754557,11,7
1754558,5,3
1754559,4,2
1754560,2,1
1754561,3,2
1754562,18,8
1754563,7,4
1754564,4,1
1754565,4,2
1754566,2,1
1754567,2,1
1754568,4,1
1754569,8,4
1754570,3,1
1754571,9,5
1754572,2,1
1754573,2,1
1754574,2,1
1754575,2,1
1754576,4,1
1754577,3,1
1754579,2,1
1754580,8,2
1754581,10,6
1754582,6,6
1754583,2,1
1754584,6,4
1754585,2,1
1754586,10,7
1754587,6,3
1754588,12,6
1754589,5,4
1754590,6,6
1754591,3,1
1754592,3,1
1754593,3,1
1754594,3,1
1754595,3,1
1754596,5,2
1754597,3,1
1754598,3,1
1754601,6,3
1754602,4,3
1754603,2,2
1754604,15,8
1754606,3,2
1754607,5,3
1754608,4,2
1754609,2,1
1754610,5,5
1754611,3,2
1754612,4,2
1754613,3,2
1754614,4,1
1754615,3,1
1754616,3,1
1754618,3,1
1754619,3,1
1754620,3,1
1754621,3,1
1754622,6,4
1754623,8,1
1754624,12,7
1754625,15,9
1754626,2,1
1754627,5,4
1754628,2,1
1754629,2,1
1754630,21,17
1754631,40,26
1754632,2,1
1754633,5,3
1754634,8,4
1754635,4,3
1754636,4,2
1754637,4,2
